task_id,task_description,deadline,priority,assigned_user,user_workload,past_task_behavior,category,status,time_taken_(hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,category_encoded,status_encoded,priority_encoded,is_completed,user_current_load,past_behavior_score,workload,deadline_days
synthetic_87737,Setup monitoring for production servers.,2025-08-07,Urgent,user8,2.0,On Time,DevOps,To Do,11.090443250925714,,,,,,,,,,,,
T0242,Restore database from backup,2025-08-27,High,User_6,5.0,delayed,Development,Completed,8.9,37.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,21.0,0.3823529411764705,1.3984674329501914,37.0
synthetic_57303,Implement search functionality.,2025-08-17,Urgent,user1,6.0,Needs Improvement,Development,To Do,8.054563674974755,,,,,,,,,,,,
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,
synthetic_33340,Write API reference documentation.,2025-07-28,Medium,user9,3.0,Late,Documentation,To Do,5.777422838034972,,,,,,,,,,,,
synthetic_67902,Redesign profile section layout.,2025-08-05,Urgent,user3,1.0,Late,Design,To Do,7.754884045898051,,,,,,,,,,,,
T0203,Resolve payment gateway timeout issue,2025-09-10,High,User_8,2.0,late,Design,Completed,9.1,51.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.3870967741935484,1.639846743295019,51.0
T0262,Patch security vulnerability in auth system,2025-07-29,High,User_9,8.0,late,DevOps,In Progress,0.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,0.3076923076923077,1.898467432950192,8.0
T0266,Patch security vulnerability in auth system,2025-09-06,High,User_6,5.0,delayed,Design,Completed,5.2,47.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.3823529411764705,2.2375478927203063,47.0
T0213,Resolve payment gateway timeout issue,2025-08-23,High,User_3,8.0,delayed,Testing,Completed,11.3,33.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,13.0,0.25,1.996168582375479,33.0
T0176,Write integration tests for API,2025-08-09,Medium,User_5,10.0,on-time,Management,Pending,0.0,19.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,20.0,0.3235294117647059,1.9770114942528727,19.0
T0137,Refactor module for scalability,2025-09-08,Medium,User_6,8.0,on-time,Design,Pending,0.0,49.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,21.0,0.3823529411764705,1.9386973180076628,49.0
synthetic_28727,Create wireframes for onboarding screens.,2025-08-12,Urgent,user7,5.0,Needs Improvement,Design,To Do,11.273215805906338,,,,,,,,,,,,
synthetic_51187,Write unit tests for payment module.,2025-08-11,Medium,user10,9.0,Excellent,Testing,To Do,4.281703862000476,,,,,,,,,,,,
synthetic_32669,Fix bugs in profile update API.,2025-07-24,Urgent,user4,1.0,Needs Improvement,Development,To Do,11.077699779135612,,,,,,,,,,,,
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,
T0080,Update internal documentation,2025-08-19,Low,User_7,8.0,on-time,Management,Pending,0.0,29.0,3.0,0.0,0.0,4.0,2.0,1.0,0.0,20.0,0.3823529411764705,1.260536398467433,29.0
T0018,Organize shared team files,2025-09-17,Low,User_10,10.0,on-time,Management,Completed,2.4,58.0,4.0,0.0,1.0,4.0,0.0,1.0,1.0,17.0,0.3103448275862069,2.3160919540229883,58.0
synthetic_21579,Plan sprint retrospective.,2025-08-19,Medium,user8,9.0,On Time,Management,To Do,9.183820464865423,,,,,,,,,,,,
T0195,Refactor module for scalability,2025-08-26,Medium,User_7,9.0,late,DevOps,Completed,2.0,36.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,20.0,0.3823529411764705,1.825670498084291,36.0
T0004,Send status update to manager,2025-07-24,Low,User_8,5.0,delayed,Testing,In Progress,0.0,3.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,15.0,0.3870967741935484,1.1455938697318009,3.0
synthetic_97578,Optimize CI/CD pipeline.,2025-08-02,Medium,user10,4.0,On Time,DevOps,To Do,7.3311823824530205,,,,,,,,,,,,
T0070,Update internal documentation,2025-08-06,Low,User_6,6.0,on-time,Management,In Progress,0.0,16.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,21.0,0.3823529411764705,0.814176245210728,16.0
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,
T0025,Update internal documentation,2025-08-15,Low,User_10,2.0,delayed,Management,Completed,2.8,25.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,17.0,0.3103448275862069,0.524904214559387,25.0
T0281,Resolve payment gateway timeout issue,2025-07-22,High,User_9,2.0,late,Management,Pending,0.0,1.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,17.0,0.3076923076923077,0.7777777777777777,1.0
synthetic_53271,Design UI for dashboard module.,2025-08-10,High,user5,6.0,Needs Improvement,Design,To Do,2.143839229607484,,,,,,,,,,,,
synthetic_27262,Update color palette and typography.,2025-08-16,Urgent,user2,7.0,On Time,Design,To Do,4.895289600560544,,,,,,,,,,,,
T0085,Organize shared team files,2025-07-25,Low,User_5,8.0,delayed,DevOps,Pending,0.0,4.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,20.0,0.3235294117647059,1.1628352490421454,4.0
T0109,Write integration tests for API,2025-09-06,Medium,User_4,10.0,on-time,Development,In Progress,0.0,47.0,5.0,0.0,1.0,2.0,1.0,2.0,0.0,14.0,0.28,2.4597701149425286,47.0
T0194,Create UI wireframes for feature,2025-08-07,Medium,User_1,2.0,late,DevOps,Pending,0.0,17.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,25.0,0.3888888888888889,1.053639846743295,17.0
synthetic_99820,Implement search functionality.,2025-08-19,Low,user9,5.0,On Time,Development,To Do,3.731835194863153,,,,,,,,,,,,
synthetic_43204,Redesign profile section layout.,2025-08-17,Urgent,user8,3.0,On Time,Design,To Do,6.24584946799887,,,,,,,,,,,,
T0067,Schedule weekly team sync,2025-07-23,Low,User_7,5.0,delayed,Management,Completed,10.4,2.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,20.0,0.3823529411764705,0.7950191570881225,2.0
T0204,Resolve payment gateway timeout issue,2025-08-29,High,User_10,7.0,delayed,Testing,In Progress,0.0,39.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,17.0,0.3103448275862069,1.9885057471264365,39.0
T0058,Organize shared team files,2025-08-01,Low,User_1,4.0,on-time,DevOps,In Progress,0.0,11.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,0.3888888888888889,0.8390804597701148,11.0
synthetic_87737,Setup monitoring for production servers.,2025-08-07,Urgent,user8,2.0,On Time,DevOps,To Do,11.090443250925714,,,,,,,,,,,,
T0072,Send status update to manager,2025-08-19,Low,User_1,2.0,delayed,Management,Completed,9.3,29.0,5.0,0.0,0.0,4.0,0.0,1.0,1.0,25.0,0.3888888888888889,1.260536398467433,29.0
synthetic_44512,Update system documentation for new features.,2025-08-04,Medium,user3,5.0,On Time,Documentation,To Do,8.117328787195131,,,,,,,,,,,,
T0177,Refactor module for scalability,2025-07-28,Medium,User_1,7.0,delayed,Design,In Progress,0.0,7.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,25.0,0.3888888888888889,1.1034482758620687,7.0
synthetic_72571,Prepare user guide for module deployment.,2025-08-13,Urgent,user6,10.0,Excellent,Documentation,To Do,4.195971670023519,,,,,,,,,,,,
T0136,Create UI wireframes for feature,2025-09-17,Medium,User_5,6.0,delayed,Design,Completed,8.7,58.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,20.0,0.3235294117647059,2.204980842911877,58.0
T0279,Deploy hotfix for customer complaints,2025-07-25,High,User_5,6.0,delayed,Development,In Progress,0.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,0.3235294117647059,1.2739463601532566,4.0
synthetic_11423,Write API reference documentation.,2025-08-18,Urgent,user9,7.0,Needs Improvement,Documentation,To Do,8.602228647398437,,,,,,,,,,,,
T0149,Write integration tests for API,2025-07-24,Medium,User_9,10.0,late,Management,Pending,0.0,3.0,5.0,0.0,1.0,4.0,2.0,2.0,0.0,17.0,0.3076923076923077,1.7011494252873562,3.0
T0186,Write integration tests for API,2025-07-23,Medium,User_5,9.0,delayed,DevOps,Completed,2.2,2.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,20.0,0.3235294117647059,1.5727969348659,2.0
T0057,Organize shared team files,2025-09-03,Low,User_8,3.0,delayed,Testing,In Progress,0.0,44.0,4.0,0.0,1.0,5.0,1.0,1.0,0.0,15.0,0.3870967741935484,1.296934865900383,44.0
T0175,Review peer pull requests,2025-07-27,Medium,User_7,10.0,late,Development,Pending,0.0,6.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,20.0,0.3823529411764705,1.4195402298850577,6.0
T0113,Write integration tests for API,2025-07-26,Medium,User_5,9.0,delayed,Documentation,Completed,9.3,5.0,5.0,0.0,1.0,3.0,0.0,2.0,1.0,20.0,0.3235294117647059,1.6245210727969346,5.0
T0074,Clean up old logs from server,2025-08-06,Low,User_8,4.0,on-time,Documentation,Completed,11.3,16.0,6.0,0.0,1.0,3.0,0.0,1.0,1.0,15.0,0.3870967741935484,1.5919540229885056,16.0
T0082,Send status update to manager,2025-07-30,Low,User_10,6.0,on-time,DevOps,Pending,0.0,9.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,17.0,0.3103448275862069,1.3601532567049808,9.0
synthetic_28727,Create wireframes for onboarding screens.,2025-08-12,Urgent,user7,5.0,Needs Improvement,Design,To Do,11.273215805906338,,,,,,,,,,,,
T0159,Write integration tests for API,2025-08-25,Medium,User_9,8.0,delayed,DevOps,Completed,10.4,35.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,17.0,0.3076923076923077,2.0306513409961684,35.0
synthetic_87801,Plan sprint retrospective.,2025-07-24,Urgent,user5,5.0,Needs Improvement,Management,To Do,4.57262712080829,,,,,,,,,,,,
